Year,State,Allowances Sold,Auction Proceeds,Price
2008,CT,"2,745,060","8,852,819",3.225
2009,CT,"6,699,974","17,686,118",2.639729363
2010,CT,"9,612,719","18,361,644",1.910140483
2011,CT,"4,690,875","8,865,754",1.89
2012,CT,"5,907,445","11,401,369",1.93
2013,CT,"11,387,235","33,340,223",2.927859362
2014,CT,"5,638,831","26,459,256",4.69233005
2015,CT,"4,916,875","29,889,131",6.078887749
2016,CT,"4,116,372","18,397,545",4.469359161
2017,CT,"3,974,184","13,490,267",3.394474592
2018,CT,"3,801,530","16,755,430",4.407548995
2019,CT,"3,650,555","19,813,593",5.427556248
2020,CT,"1,786,225","10,183,825",5.701311341
2008,DE,"755,979","2,555,209",3.379999974
2009,DE,"3,304,551","8,943,843",2.706522913
2010,DE,"3,823,201","7,359,526",1.924964447
2011,DE,"2,666,993","5,040,617",1.890000086
2012,DE,"3,000,882","5,791,702",1.929999913
2013,DE,"5,551,860","16,193,082",2.916694945
2014,DE,"3,798,360","17,968,750",4.730660074
2015,DE,"3,418,922","20,841,021",6.09578721
2016,DE,"2,862,188","12,786,825",4.467500038
2017,DE,"2,858,274","9,775,296",3.419999622
2018,DE,"2,761,772","12,193,223",4.414999862
2019,DE,"2,611,556","14,167,691",5.424999885
2020,DE,"1,260,610","7,185,477",5.7
2008,MA,"8,735,068","28,176,794",3.225709748
2009,MA,"18,777,657","50,918,303",2.711643045
2010,MA,"22,915,581","44,134,380",1.925955096
2011,MA,"14,371,272","27,161,704",1.889999994
2012,MA,"14,782,694","28,530,599",1.929999972
2013,MA,"25,327,192","73,955,401",2.920000014
2014,MA,"13,446,058","63,611,112",4.730837246
2015,MA,"12,180,735","74,252,615",6.095905953
2016,MA,"10,218,385","45,650,634",4.467499903
2017,MA,"10,062,297","34,413,056",3.420000026
2018,MA,"9,520,767","41,857,508",4.39644285
2019,MA,"8,539,575","46,327,194",5.424999956
2020,MA,"4,330,508","24,683,896",5.700000092
2008,MD,"8,735,068","28,176,794",3.225709748
2009,MD,"18,777,657","50,918,303",2.711643045
2010,MD,"22,915,581","44,134,380",1.925955096
2011,MD,"14,371,272","27,161,704",1.889999994
2012,MD,"14,782,694","28,530,599",1.929999972
2013,MD,"25,327,192","73,955,401",2.920000014
2014,MD,"13,446,058","63,611,112",4.730837246
2015,MD,"12,180,735","74,252,615",6.095905953
2016,MD,"10,218,385","45,650,634",4.467499903
2017,MD,"10,062,297","34,413,056",3.420000026
2018,MD,"9,520,767","41,857,508",4.39644285
2019,MD,"8,539,575","46,327,194",5.424999956
2020,MD,"4,330,508","24,683,896",5.700000092
2008,ME,"1,745,012","5,627,664",3.225000172
2009,ME,"3,528,873","9,618,944",2.725783558
2010,ME,"4,304,755","8,297,597",1.927542218
2011,ME,"2,748,704","5,195,051",1.89000016
2012,ME,"2,853,558","5,507,367",1.930000021
2013,ME,"4,816,460","14,064,063",2.919999958
2014,ME,"2,391,041","11,369,695",4.755123396
2015,ME,"2,438,981","14,995,064",6.148085614
2016,ME,"2,000,560","8,937,502",4.4675001
2017,ME,"2,390,619","8,296,150",3.470293677
2018,ME,"2,054,315","9,031,936",4.396568199
2019,ME,"1,912,252","10,373,967",5.424999948
2020,ME,"899,954","5,129,738",5.700000222
