,Year,State,Allowances Sold,Auction Proceeds,Price,"CO2
(Metric Tons)","SO2
(Metric Tons)","NOx
(Metric Tons)"
0,2008,CT,2745060.0,8852819.0,3.225,37802976,15488,29828
1,2008,DE,755979.0,2555209.0,3.379999974,26387812,127920,45796
2,2008,MA,8735068.0,28176794.0,3.225709748,89052688,176124,75712
3,2008,MD,8735068.0,28176794.0,3.225709748,116621064,902092,165252
4,2008,ME,1745012.0,5627664.0,3.225000172,21254160,104920,42960
5,2008,NH,1189610.0,4020882.0,3.380000168,27129200,135112,24936
6,2008,NJ,4532761.0,15320732.0,3.37999996,80388440,139964,80820
7,2008,NY,12422161.0,41986904.0,3.379999986,188626804,333760,205484
8,2008,RI,877548.0,2830092.0,3.224999658,11950084,404,13028
9,2008,VT,404524.0,1304590.0,3.225000247,28392,144,1676
10,2009,CT,6699974.0,17686118.0,2.639729363,32184352,7448,25932
11,2009,DE,3304551.0,8943843.0,2.706522913,16573000,62796,23256
12,2009,MA,18777657.0,50918303.0,2.711643045,78733300,133728,66644
13,2009,MD,18777657.0,50918303.0,2.711643045,102636172,788524,93600
14,2009,ME,3528873.0,9618944.0,2.725783558,18857076,131704,49588
15,2009,NH,5255322.0,14140468.0,2.69069488,22028240,122808,21952
16,2009,NJ,13482097.0,40035381.0,2.969521804,64342228,47164,55676
17,2009,NY,50908287.0,138691813.0,2.72434649,152520352,235488,176372
18,2009,RI,1878043.0,5092494.0,2.71159606,12724084,620,11420
19,2009,VT,865719.0,2347481.0,2.71159695,26332,152,2508
20,2010,CT,9612719.0,18361644.0,1.910140483,36805456,8128,28368
21,2010,DE,3823201.0,7359526.0,1.924964447,16749216,52608,19256
22,2010,MA,22915581.0,44134380.0,1.925955096,81164040,139752,69232
23,2010,MD,22915581.0,44134380.0,1.925955096,105477544,180360,99588
24,2010,ME,4304755.0,8297597.0,1.927542218,19792612,49676,33652
25,2010,NH,5221458.0,10053925.0,1.92550146,22205944,135232,25068
26,2010,NJ,18600512.0,35557163.0,1.911622809,76640544,55816,59944
27,2010,NY,52748753.0,101593966.0,1.925997492,166335032,246888,176208
